Date,Equity PCR,Index PCR,Equity OI PCR,Index OI PCR
2026-07-17,0.73,0.98,0.62,0.89
2026-07-16,0.67,0.98,0.63,0.91
2026-07-15,0.69,1.02,0.63,0.91
2026-07-14,0.62,1.01,0.62,0.9
2026-07-13,0.67,1.1,0.62,0.9
2026-07-10,0.55,1.01,0.62,0.91
2026-07-09,0.57,1.01,0.62,0.91
2026-07-07,0.69,1.01,0.62,0.91
2026-07-06,0.62,1.02,0.62,0.91
2026-07-02,0.53,0.97,0.62,0.91
2026-07-01,0.69,0.95,0.62,0.92
2026-06-30,0.64,1.01,0.62,0.94
2026-06-29,0.59,1.19,0.62,0.93
2026-06-26,0.85,1.19,0.62,0.94
2026-06-25,0.67,1.18,0.62,0.93
2026-06-24,0.61,1.16,0.62,0.93
2026-06-23,0.56,1.06,0.61,0.92
2026-06-22,0.6,1.08,0.62,0.93
2026-06-18,0.58,1.17,0.62,1.0
2026-06-17,0.59,1.11,0.623088839,0.919813178
2026-06-16,0.59,0.93,0.621722175,0.932877319
2026-06-15,0.54,1.16,0.623271665,0.936397029
2026-06-12,0.54,1.06,0.622120255,0.944042127
2026-06-11,0.56,0.98,0.625157751,0.946257772
2026-06-10,0.66,1.06,0.626455358,0.948541674
2026-06-09,0.62,1.11,0.625163676,0.942546599
2026-06-08,0.52,1.24,0.63,0.95
2026-06-05,0.67,1.13,0.62471473,0.945903515
2026-06-04,0.44,1.07,0.626235528,0.943810155
2026-06-03,0.49,1.02,0.624077483,0.945534112
2026-06-02,0.43,1.0,0.623336582,0.938189645
2026-06-01,0.44,0.99,0.622108942,0.937854351
2026-05-29,0.42,0.84,0.625583294,0.967033804
2026-05-28,0.39,1.07,0.628971439,0.968289879
2026-05-27,0.43,1.08,0.629579027,0.935284595
2026-05-26,0.47,1.11,0.630383098,0.922767577
2026-05-22,0.55,1.18,0.631408768,0.927906981
2026-05-21,0.49,0.97,0.632539961,0.934218926
2026-05-20,0.49,0.77,0.633230451,0.972397227
2026-05-19,0.56,0.91,0.632740498,0.895336039
2026-05-18,0.51,0.91,0.632973965,0.903042487
2026-05-15,0.59,1.03,0.630203125,0.945029905
2026-05-14,0.51,0.93,0.630854436,0.944195483
2026-05-13,0.5,0.89,0.631280716,0.943320274
2026-05-12,0.49,1.13,0.631430583,0.936476935
2026-05-11,0.43,1.18,0.632677643,0.935826568
2026-05-08,0.53,1.03,0.634887142,0.942280191
2026-05-07,0.46,1.11,0.632469236,0.938670821
2026-05-06,0.51,0.71,0.632807099,0.928153104
2026-05-05,0.57,1.06,0.63198325,0.92617002
2026-05-04,0.54,1.12,0.630662756,0.925769827
2026-05-01,0.46,0.98,0.632793873,0.935613776
2026-04-30,0.46,0.97,0.633265019,0.951262207
2026-04-29,0.52,1.0,0.63080297,0.951621837
2026-04-28,0.52,1.07,0.628642339,0.953284529
2026-04-27,0.5,1.12,0.627966063,0.944911428
2026-04-24,0.5,1.12,0.627966063,0.944911428
2026-04-23,0.51,1.19,0.627490004,0.955383859
2026-04-22,0.48,1.09,0.626203647,0.951854925
2026-04-21,0.56,1.11,0.622064879,0.948605071
2026-04-20,0.54,1.16,0.621770453,0.944296569
2026-04-17,0.41,0.85,0.621379355,1.003425479
2026-04-16,0.45,0.82,0.620319875,1.009195974
2026-04-15,0.47,0.93,0.621761445,0.914209315
2026-04-14,0.5,0.7,0.623061737,0.947366192
2026-04-13,0.5,0.7,0.623061737,0.947366192
2026-04-10,0.51,0.93,0.627474537,0.979817079
2026-04-09,0.48,0.98,0.628249722,0.992355425
2026-04-08,0.56,1.08,0.629131548,0.992202446
2026-04-07,0.72,0.98,0.626495439,0.992598957
2026-04-06,0.68,1.08,0.627254652,0.986574831
2026-04-02,0.59,1.16,0.62770215,0.98657751
2026-04-01,0.63,1.07,0.627524918,0.984016318
2026-03-31,0.56,1.1,0.631499716,0.996166879
2026-03-30,0.66,1.16,0.63297103,0.999651124
2026-03-27,0.56,1.15,0.634505383,1.002871967
2026-03-26,0.63,1.21,0.639204747,0.991188854
2026-03-25,0.56,1.06,0.642061724,0.993131593
2026-03-24,0.58,0.95,0.642464766,0.995703338
2026-03-23,0.57,1.06,0.647524012,1.004470782
2026-03-20,0.81,1.15,0.631760703,1.047303836
2026-03-19,0.58,1.04,0.634592649,1.04716493
2026-03-18,0.9,1.02,0.634732077,1.00221358
2026-03-17,0.86,0.99,0.634824354,1.005988287
2026-03-16,0.76,1.03,0.635952154,1.014144685
2026-03-13,0.58,1.02,0.636904874,1.025285475
2026-03-12,0.68,1.0,0.637594259,1.027533858
2026-03-11,0.8,1.01,0.636191049,1.021841469
2026-03-10,0.57,1.07,0.636298394,1.017499542
2026-03-09,0.64,1.02,0.637621835,1.008408632
2026-03-06,0.67,1.12,0.635133633,0.992853761
2026-03-05,0.6,1.06,0.634433796,0.972409688
2026-03-04,0.65,1.04,0.634007751,0.974656498
2026-03-03,0.72,0.98,0.632368987,0.955019061
2026-03-02,0.67,1.1,0.632505982,0.955213795
2026-02-27,0.66,1.0,0.632168375,0.977105893
